human_ensembl,human_symbol,mouse_ensembl,mouse_symbol
ENSG00000111737,RAB35,ENSMUSG00000029518,Rab35
ENSG00000058729,RIOK2,ENSMUSG00000116564,Riok2
ENSG00000121481,RNF2,ENSMUSG00000026484,Rnf2
ENSG00000106723,SPIN1,ENSMUSG00000021395,Spin1
ENSG00000130640,TUBGCP2,ENSMUSG00000025474,Tubgcp2
ENSG00000178996,SNX18,ENSMUSG00000042364,Snx18
ENSG00000136158,SPRY2,ENSMUSG00000022114,Spry2
ENSG00000152503,TRIM36,ENSMUSG00000033949,Trim36
ENSG00000127337,YEATS4,ENSMUSG00000020171,Yeats4
ENSG00000151332,MBIP,ENSMUSG00000021028,Mbip
ENSG00000123159,GIPC1,ENSMUSG00000019433,Gipc1
ENSG00000107937,GTPBP4,ENSMUSG00000021149,Gtpbp4
ENSG00000215114,UBXN2B,ENSMUSG00000028243,Ubxn2b
ENSG00000082898,XPO1,ENSMUSG00000020290,Xpo1
ENSG00000071539,TRIP13,ENSMUSG00000021569,Trip13
ENSG00000103540,CCP110,ENSMUSG00000033904,Ccp110
ENSG00000213689,TREX1,ENSMUSG00000049734,Trex1
ENSG00000101782,RIOK3,ENSMUSG00000024404,Riok3
ENSG00000143924,EML4,ENSMUSG00000032624,Eml4
ENSG00000119408,NEK6,ENSMUSG00000026749,Nek6
ENSG00000158019,BABAM2,ENSMUSG00000052139,Babam2
ENSG00000136518,ACTL6A,ENSMUSG00000027671,Actl6a
ENSG00000197771,MCMBP,ENSMUSG00000048170,Mcmbp
ENSG00000152240,HAUS1,ENSMUSG00000041840,Haus1
ENSG00000064393,HIPK2,ENSMUSG00000061436,Hipk2
ENSG00000140299,BNIP2,ENSMUSG00000011958,Bnip2
ENSG00000137497,NUMA1,ENSMUSG00000066306,Numa1
ENSG00000147601,TERF1,ENSMUSG00000025925,Terf1
ENSG00000105810,CDK6,ENSMUSG00000040274,Cdk6
ENSG00000102981,PARD6A,ENSMUSG00000005699,Pard6a
ENSG00000134058,CDK7,ENSMUSG00000069089,Cdk7
ENSG00000151876,FBXO4,ENSMUSG00000022184,Fbxo4
ENSG00000130413,STK33,ENSMUSG00000031027,Stk33
ENSG00000100811,YY1,ENSMUSG00000021264,Yy1
ENSG00000171033,PKIA,ENSMUSG00000027499,Pkia
ENSG00000055917,PUM2,ENSMUSG00000020594,Pum2
ENSG00000144744,UBA3,ENSMUSG00000030061,Uba3
ENSG00000068028,RASSF1,ENSMUSG00000010067,Rassf1
ENSG00000118816,CCNI,ENSMUSG00000063015,Ccni
ENSG00000117155,SSX2IP,ENSMUSG00000036825,Ssx2ip
ENSG00000100029,PES1,ENSMUSG00000020430,Pes1
ENSG00000138071,ACTR2,ENSMUSG00000020152,Actr2
ENSG00000108389,MTMR4,ENSMUSG00000018401,Mtmr4
ENSG00000170855,TRIAP1,ENSMUSG00000029535,Triap1
ENSG00000078142,PIK3C3,ENSMUSG00000033628,Pik3c3
ENSG00000204138,PHACTR4,ENSMUSG00000066043,Phactr4
ENSG00000131558,EXOC4,ENSMUSG00000029763,Exoc4
ENSG00000126001,CEP250,ENSMUSG00000038241,Cep250
ENSG00000130222,GADD45G,ENSMUSG00000021453,Gadd45g
ENSG00000104320,NBN,ENSMUSG00000028224,Nbn
ENSG00000084764,MAPRE3,ENSMUSG00000029166,Mapre3
ENSG00000010292,NCAPD2,ENSMUSG00000038252,Ncapd2
ENSG00000085224,ATRX,ENSMUSG00000031229,Atrx
ENSG00000058668,ATP2B4,ENSMUSG00000026463,Atp2b4
ENSG00000140575,IQGAP1,ENSMUSG00000030536,Iqgap1
ENSG00000123562,MORF4L2,ENSMUSG00000031422,Morf4l2
ENSG00000119906,SLF2,ENSMUSG00000036097,Slf2
ENSG00000151150,ANK3,ENSMUSG00000069601,Ank3
ENSG00000168610,STAT3,ENSMUSG00000004040,Stat3
ENSG00000167657,DAPK3,ENSMUSG00000034974,Dapk3
ENSG00000152894,PTPRK,ENSMUSG00000019889,Ptprk
ENSG00000108443,RPS6KB1,ENSMUSG00000020516,Rps6kb1
ENSG00000101057,MYBL2,ENSMUSG00000017861,Mybl2
ENSG00000072864,NDE1,ENSMUSG00000022678,Nde1
ENSG00000104738,MCM4,ENSMUSG00000022673,Mcm4
ENSG00000253729,PRKDC,ENSMUSG00000022672,Prkdc
ENSG00000197343,ZNF655,ENSMUSG00000007812,Zfp655
ENSG00000113812,ACTR8,ENSMUSG00000015971,Actr8
ENSG00000160993,ALKBH4,ENSMUSG00000039754,Alkbh4
ENSG00000143878,RHOB,ENSMUSG00000054364,Rhob
ENSG00000131351,HAUS8,ENSMUSG00000035439,Haus8
ENSG00000133884,DPF2,ENSMUSG00000024826,Dpf2
ENSG00000165169,DYNLT3,ENSMUSG00000031176,Dynlt3
ENSG00000221978,CCNL2,ENSMUSG00000029068,Ccnl2
ENSG00000065243,PKN2,ENSMUSG00000004591,Pkn2
ENSG00000168556,ING2,ENSMUSG00000063049,Ing2
ENSG00000100359,SGSM3,ENSMUSG00000042303,Sgsm3
ENSG00000108961,RANGRF,ENSMUSG00000032892,Rangrf
ENSG00000136159,NUDT15,ENSMUSG00000033405,Nudt15
ENSG00000163660,CCNL1,ENSMUSG00000027829,Ccnl1
ENSG00000164885,CDK5,ENSMUSG00000028969,Cdk5
ENSG00000011243,AKAP8L,ENSMUSG00000002625,Akap8l
ENSG00000180096,SEPTIN1,ENSMUSG00000000486,Septin1
ENSG00000160783,PMF1,ENSMUSG00000028066,Pmf1
ENSG00000139618,BRCA2,ENSMUSG00000041147,Brca2
ENSG00000134138,MEIS2,ENSMUSG00000027210,Meis2
ENSG00000119684,MLH3,ENSMUSG00000021245,Mlh3
ENSG00000105373,NOP53,ENSMUSG00000041560,Nop53
ENSG00000130522,JUND,ENSMUSG00000071076,Jund
ENSG00000143862,ARL8A,ENSMUSG00000026426,Arl8a
ENSG00000170315,UBB,ENSMUSG00000019505,Ubb
ENSG00000118193,KIF14,ENSMUSG00000041498,Kif14
ENSG00000083799,CYLD,ENSMUSG00000036712,Cyld
ENSG00000204569,PPP1R10,ENSMUSG00000039220,Ppp1r10
ENSG00000109062,NHERF1,ENSMUSG00000020733,Nherf1
ENSG00000072803,FBXW11,ENSMUSG00000020271,Fbxw11
ENSG00000215301,DDX3X,ENSMUSG00000000787,Ddx3x
ENSG00000100532,CGRRF1,ENSMUSG00000055128,Cgrrf1
ENSG00000094880,CDC23,ENSMUSG00000024370,Cdc23
ENSG00000133302,SLF1,ENSMUSG00000021597,Slf1
ENSG00000204120,GIGYF2,ENSMUSG00000048000,Gigyf2
ENSG00000151694,ADAM17,ENSMUSG00000052593,Adam17
ENSG00000178028,DMAP1,ENSMUSG00000009640,Dmap1
ENSG00000143514,TP53BP2,ENSMUSG00000026510,Trp53bp2
ENSG00000149311,ATM,ENSMUSG00000034218,Atm
ENSG00000179218,CALR,ENSMUSG00000003814,Calr
ENSG00000205339,IPO7,ENSMUSG00000066232,Ipo7
ENSG00000005483,KMT2E,ENSMUSG00000029004,Kmt2e
ENSG00000167842,MIS12,ENSMUSG00000040599,Mis12
ENSG00000134318,ROCK2,ENSMUSG00000020580,Rock2
ENSG00000152518,ZFP36L2,ENSMUSG00000045817,Zfp36l2
ENSG00000053254,FOXN3,ENSMUSG00000033713,Foxn3
ENSG00000171862,PTEN,ENSMUSG00000013663,Pten
ENSG00000130340,SNX9,ENSMUSG00000002365,Snx9
ENSG00000198642,KLHL9,ENSMUSG00000070923,Klhl9
ENSG00000132466,ANKRD17,ENSMUSG00000055204,Ankrd17
ENSG00000108055,SMC3,ENSMUSG00000024974,Smc3
ENSG00000138758,SEPTIN11,ENSMUSG00000058013,Septin11
ENSG00000100503,NIN,ENSMUSG00000021068,Nin
ENSG00000100911,PSME2,ENSMUSG00000078153,Psme2b
ENSG00000181555,SETD2,ENSMUSG00000044791,Setd2
ENSG00000125354,SEPTIN6,ENSMUSG00000050379,Septin6
ENSG00000015475,BID,ENSMUSG00000004446,Bid
ENSG00000087206,UIMC1,ENSMUSG00000025878,Uimc1
ENSG00000185630,PBX1,ENSMUSG00000052534,Pbx1
ENSG00000163961,RNF168,ENSMUSG00000014074,Rnf168
ENSG00000136603,SKIL,ENSMUSG00000027660,Skil
ENSG00000171566,PLRG1,ENSMUSG00000027998,Plrg1
ENSG00000109103,UNC119,ENSMUSG00000002058,Unc119
ENSG00000059758,CDK17,ENSMUSG00000020015,Cdk17
ENSG00000150093,ITGB1,ENSMUSG00000025809,Itgb1
ENSG00000131462,TUBG1,ENSMUSG00000035198,Tubg1
ENSG00000104218,CSPP1,ENSMUSG00000056763,Cspp1
ENSG00000141446,ESCO1,ENSMUSG00000024293,Esco1
ENSG00000221914,PPP2R2A,ENSMUSG00000022052,Ppp2r2a
ENSG00000182628,SKA2,ENSMUSG00000020492,Ska2
ENSG00000110987,BCL7A,ENSMUSG00000029438,Bcl7a
ENSG00000140943,MBTPS1,ENSMUSG00000031835,Mbtps1
ENSG00000182473,EXOC7,ENSMUSG00000020792,Exoc7
ENSG00000129355,CDKN2D,ENSMUSG00000096472,Cdkn2d
ENSG00000108387,SEPTIN4,ENSMUSG00000020486,Septin4
ENSG00000113141,IK,ENSMUSG00000024474,Ik
ENSG00000054282,SDCCAG8,ENSMUSG00000026504,Sdccag8
ENSG00000100814,CCNB1IP1,ENSMUSG00000071470,Ccnb1ip1
ENSG00000171792,RHNO1,ENSMUSG00000048668,Rhno1
ENSG00000166974,MAPRE2,ENSMUSG00000024277,Mapre2
ENSG00000165480,SKA3,ENSMUSG00000021965,Ska3
ENSG00000084073,ZMPSTE24,ENSMUSG00000043207,Zmpste24
ENSG00000044459,CNTLN,ENSMUSG00000038070,Cntln
ENSG00000066117,SMARCD1,ENSMUSG00000023018,Smarcd1
ENSG00000160014,CALM3,ENSMUSG00000019370,Calm3
ENSG00000163322,ABRAXAS1,ENSMUSG00000035234,Abraxas1
ENSG00000095002,MSH2,ENSMUSG00000024151,Msh2
ENSG00000112701,SENP6,ENSMUSG00000034252,Senp6
ENSG00000113580,NR3C1,ENSMUSG00000024431,Nr3c1
ENSG00000107872,FBXL15,ENSMUSG00000025226,Fbxl15
ENSG00000163870,TPRA1,ENSMUSG00000002871,Tpra1
ENSG00000147526,TACC1,ENSMUSG00000065954,Tacc1
ENSG00000164949,GEM,ENSMUSG00000028214,Gem
ENSG00000164953,TMEM67,ENSMUSG00000049488,Tmem67
ENSG00000137575,SDCBP,ENSMUSG00000028249,Sdcbp
ENSG00000176208,ATAD5,ENSMUSG00000017550,Atad5
ENSG00000109670,FBXW7,ENSMUSG00000028086,Fbxw7
ENSG00000198887,SMC5,ENSMUSG00000024943,Smc5
ENSG00000155366,RHOC,ENSMUSG00000002233,Rhoc
ENSG00000115306,SPTBN1,ENSMUSG00000020315,Sptbn1
ENSG00000011295,TTC19,ENSMUSG00000042298,Ttc19
ENSG00000131470,PSMC3IP,ENSMUSG00000019303,Psmc3ip
ENSG00000137710,RDX,ENSMUSG00000032050,Rdx
ENSG00000124356,STAMBP,ENSMUSG00000006906,Stambp
ENSG00000204628,RACK1,ENSMUSG00000020372,Rack1
ENSG00000121957,GPSM2,ENSMUSG00000027883,Gpsm2
ENSG00000107798,LIPA,ENSMUSG00000024781,Lipa
ENSG00000168476,REEP4,ENSMUSG00000033589,Reep4
ENSG00000149636,DSN1,ENSMUSG00000027635,Dsn1
ENSG00000068489,PRR11,ENSMUSG00000020493,Prr11
ENSG00000152661,GJA1,ENSMUSG00000050953,Gja1
ENSG00000257365,FNTB,ENSMUSG00000033373,Fntb
ENSG00000185880,TRIM69,ENSMUSG00000033368,Trim69
ENSG00000154144,TBRG1,ENSMUSG00000011114,Tbrg1
ENSG00000154229,PRKCA,ENSMUSG00000050965,Prkca
ENSG00000087074,PPP1R15A,ENSMUSG00000040435,Ppp1r15a
ENSG00000137947,GTF2B,ENSMUSG00000028271,Gtf2b
ENSG00000071243,ING3,ENSMUSG00000029670,Ing3
ENSG00000083937,CHMP2B,ENSMUSG00000004843,Chmp2b
ENSG00000021574,SPAST,ENSMUSG00000024068,Spast
ENSG00000112742,TTK,ENSMUSG00000038379,Ttk
ENSG00000121621,KIF18A,ENSMUSG00000027115,Kif18a
ENSG00000093009,CDC45,ENSMUSG00000000028,Cdc45
ENSG00000204371,EHMT2,ENSMUSG00000013787,Ehmt2
ENSG00000138496,PARP9,ENSMUSG00000022906,Parp9
ENSG00000168061,SAC3D1,ENSMUSG00000024790,Sac3d1
ENSG00000117748,RPA2,ENSMUSG00000028884,Rpa2
ENSG00000104290,FZD3,ENSMUSG00000007989,Fzd3
ENSG00000101224,CDC25B,ENSMUSG00000027330,Cdc25b
ENSG00000196924,FLNA,ENSMUSG00000031328,Flna
ENSG00000165304,MELK,ENSMUSG00000035683,Melk
ENSG00000111653,ING4,ENSMUSG00000030330,Ing4
ENSG00000121774,KHDRBS1,ENSMUSG00000028790,Khdrbs1
ENSG00000133794,BMAL1,ENSMUSG00000055116,Bmal1
ENSG00000075413,MARK3,ENSMUSG00000007411,Mark3
ENSG00000139734,DIAPH3,ENSMUSG00000022021,Diaph3
ENSG00000260916,CCPG1,ENSMUSG00000034563,Ccpg1
ENSG00000116560,SFPQ,ENSMUSG00000028820,Sfpq
ENSG00000105971,CAV2,ENSMUSG00000000058,Cav2
ENSG00000020426,MNAT1,ENSMUSG00000021103,Mnat1
ENSG00000151491,EPS8,ENSMUSG00000015766,Eps8
ENSG00000058272,PPP1R12A,ENSMUSG00000019907,Ppp1r12a
ENSG00000115091,ACTR3,ENSMUSG00000026341,Actr3
ENSG00000127824,TUBA4A,ENSMUSG00000026202,Tuba4a
ENSG00000175216,CKAP5,ENSMUSG00000040549,Ckap5
ENSG00000147862,NFIB,ENSMUSG00000008575,Nfib
ENSG00000154767,XPC,ENSMUSG00000030094,Xpc
ENSG00000214517,PPME1,ENSMUSG00000030718,Ppme1
ENSG00000096093,EFHC1,ENSMUSG00000041809,Efhc1
ENSG00000105856,HBP1,ENSMUSG00000002996,Hbp1
ENSG00000072501,SMC1A,ENSMUSG00000041133,Smc1a
ENSG00000176014,TUBB6,ENSMUSG00000001473,Tubb6
ENSG00000166483,WEE1,ENSMUSG00000031016,Wee1
ENSG00000013810,TACC3,ENSMUSG00000037313,Tacc3
ENSG00000134982,APC,ENSMUSG00000005871,Apc
ENSG00000106462,EZH2,ENSMUSG00000029687,Ezh2
ENSG00000134324,LPIN1,ENSMUSG00000020593,Lpin1
ENSG00000237649,KIFC1,ENSMUSG00000079553,Kifc1
ENSG00000163235,TGFA,ENSMUSG00000029999,Tgfa
ENSG00000153044,CENPH,ENSMUSG00000045273,Cenph
ENSG00000205683,DPF3,ENSMUSG00000021221,Dpf3
ENSG00000104147,OIP5,ENSMUSG00000072980,Oip5
ENSG00000131437,KIF3A,ENSMUSG00000018395,Kif3a
ENSG00000113328,CCNG1,ENSMUSG00000020326,Ccng1
ENSG00000090989,EXOC1,ENSMUSG00000036435,Exoc1
ENSG00000122359,ANXA11,ENSMUSG00000021866,Anxa11
ENSG00000122545,SEPTIN7,ENSMUSG00000001833,Septin7
ENSG00000136504,KAT7,ENSMUSG00000038909,Kat7
ENSG00000172757,CFL1,ENSMUSG00000056201,Cfl1
ENSG00000135679,MDM2,ENSMUSG00000020184,Mdm2
ENSG00000149273,RPS3,ENSMUSG00000030744,Rps3
ENSG00000176907,TCIM,ENSMUSG00000056313,Tcim
ENSG00000022267,FHL1,ENSMUSG00000050035,Fhl4
ENSG00000255112,CHMP1B,ENSMUSG00000109901,Chmp1b
ENSG00000138592,USP8,ENSMUSG00000027363,Usp8
ENSG00000159055,MIS18A,ENSMUSG00000022978,Mis18a
ENSG00000100345,MYH9,ENSMUSG00000022443,Myh9
ENSG00000007372,PAX6,ENSMUSG00000027168,Pax6
ENSG00000169689,CENPX,ENSMUSG00000025144,Cenpx
ENSG00000149948,HMGA2,ENSMUSG00000056758,Hmga2
ENSG00000105619,TFPT,ENSMUSG00000006335,Tfpt
ENSG00000051180,RAD51,ENSMUSG00000027323,Rad51
ENSG00000182247,UBE2E2,ENSMUSG00000058317,Ube2e2
ENSG00000136044,APPL2,ENSMUSG00000020263,Appl2
ENSG00000168036,CTNNB1,ENSMUSG00000006932,Ctnnb1
ENSG00000048392,RRM2B,ENSMUSG00000022292,Rrm2b
ENSG00000205078,SYCE1L,ENSMUSG00000033409,Syce1l
ENSG00000197321,SVIL,ENSMUSG00000024236,Svil
ENSG00000154640,BTG3,ENSMUSG00000022863,Btg3
ENSG00000092820,EZR,ENSMUSG00000052397,Ezr
ENSG00000120129,DUSP1,ENSMUSG00000024190,Dusp1
ENSG00000185909,KLHDC8B,ENSMUSG00000032609,Klhdc8b
ENSG00000100749,VRK1,ENSMUSG00000021115,Vrk1
ENSG00000125845,BMP2,ENSMUSG00000027358,Bmp2
ENSG00000153391,INO80C,ENSMUSG00000047989,Ino80c
ENSG00000166582,CENPV,ENSMUSG00000018509,Cenpv
ENSG00000111247,RAD51AP1,ENSMUSG00000030346,Rad51ap1
ENSG00000106615,RHEB,ENSMUSG00000028945,Rheb
ENSG00000099860,GADD45B,ENSMUSG00000015312,Gadd45b
ENSG00000106617,PRKAG2,ENSMUSG00000028944,Prkag2
ENSG00000114993,RTKN,ENSMUSG00000034930,Rtkn
ENSG00000133101,CCNA1,ENSMUSG00000027793,Ccna1
ENSG00000161800,RACGAP1,ENSMUSG00000023015,Racgap1
ENSG00000164114,MAP9,ENSMUSG00000033900,Map9
ENSG00000124479,NDP,ENSMUSG00000040138,Ndp
ENSG00000138162,TACC2,ENSMUSG00000030852,Tacc2
ENSG00000107485,GATA3,ENSMUSG00000015619,Gata3
ENSG00000187840,EIF4EBP1,ENSMUSG00000031490,Eif4ebp1
ENSG00000112118,MCM3,ENSMUSG00000041859,Mcm3
ENSG00000076003,MCM6,ENSMUSG00000026355,Mcm6
ENSG00000169679,BUB1,ENSMUSG00000027379,Bub1
ENSG00000087088,BAX,ENSMUSG00000003873,Bax
ENSG00000023445,BIRC3,ENSMUSG00000032000,Birc3
ENSG00000123219,CENPK,ENSMUSG00000021714,Cenpk
ENSG00000137331,IER3,ENSMUSG00000003541,Ier3
ENSG00000116717,GADD45A,ENSMUSG00000036390,Gadd45a
ENSG00000142945,KIF2C,ENSMUSG00000028678,Kif2c
ENSG00000134419,RPS15A,ENSMUSG00000008683,Rps15a
ENSG00000132688,NES,ENSMUSG00000004891,Nes
ENSG00000164754,RAD21,ENSMUSG00000022314,Rad21
ENSG00000106399,RPA3,ENSMUSG00000012483,Rpa3
ENSG00000092621,PHGDH,ENSMUSG00000053398,Phgdh
ENSG00000134222,PSRC1,ENSMUSG00000068744,Psrc1
ENSG00000138798,EGF,ENSMUSG00000028017,Egf
ENSG00000171867,PRNP,ENSMUSG00000079037,Prnp
ENSG00000092969,TGFB2,ENSMUSG00000039239,Tgfb2
ENSG00000175197,DDIT3,ENSMUSG00000025408,Ddit3
ENSG00000198668,CALM1,ENSMUSG00000001175,Calm1
ENSG00000185650,ZFP36L1,ENSMUSG00000021127,Zfp36l1
ENSG00000114346,ECT2,ENSMUSG00000027699,Ect2
ENSG00000117707,PROX1,ENSMUSG00000010175,Prox1
ENSG00000137812,KNL1,ENSMUSG00000027326,Knl1
ENSG00000167325,RRM1,ENSMUSG00000030978,Rrm1
ENSG00000175643,RMI2,ENSMUSG00000037991,Rmi2
ENSG00000138160,KIF11,ENSMUSG00000012443,Kif11
ENSG00000168496,FEN1,ENSMUSG00000024742,Fen1
ENSG00000094804,CDC6,ENSMUSG00000017499,Cdc6
ENSG00000079616,KIF22,ENSMUSG00000030677,Kif22
ENSG00000179041,RRS1,ENSMUSG00000061024,Rrs1
ENSG00000154473,BUB3,ENSMUSG00000066979,Bub3
ENSG00000165655,ZNF503,ENSMUSG00000039081,Zfp503
ENSG00000011426,ANLN,ENSMUSG00000036777,Anln
ENSG00000104332,SFRP1,ENSMUSG00000031548,Sfrp1
ENSG00000148935,GAS2,ENSMUSG00000030498,Gas2
ENSG00000101447,FAM83D,ENSMUSG00000027654,Fam83d
ENSG00000159140,SON,ENSMUSG00000022961,Son
ENSG00000040275,SPDL1,ENSMUSG00000069910,Spdl1
ENSG00000102409,BEX4,ENSMUSG00000075269,Bex6
ENSG00000112984,KIF20A,ENSMUSG00000003779,Kif20a
ENSG00000151725,CENPU,ENSMUSG00000031629,Cenpu
ENSG00000075711,DLG1,ENSMUSG00000022770,Dlg1
ENSG00000005022,SLC25A5,ENSMUSG00000016319,Slc25a5
ENSG00000188486,H2AX,ENSMUSG00000049932,H2ax
ENSG00000006634,DBF4,ENSMUSG00000002297,Dbf4
ENSG00000134690,CDCA8,ENSMUSG00000028873,Cdca8
ENSG00000175305,CCNE2,ENSMUSG00000028212,Ccne2
ENSG00000123080,CDKN2C,ENSMUSG00000028551,Cdkn2c
ENSG00000184661,CDCA2,ENSMUSG00000048922,Cdca2
ENSG00000181163,NPM1,ENSMUSG00000057113,Npm1
ENSG00000100162,CENPM,ENSMUSG00000068101,Cenpm
ENSG00000177606,JUN,ENSMUSG00000052684,Jun
ENSG00000125398,SOX9,ENSMUSG00000000567,Sox9
ENSG00000123485,HJURP,ENSMUSG00000044783,Hjurp
ENSG00000136997,MYC,ENSMUSG00000022346,Myc
ENSG00000109805,NCAPG,ENSMUSG00000015880,Ncapg
ENSG00000164056,SPRY1,ENSMUSG00000037211,Spry1
ENSG00000138180,CEP55,ENSMUSG00000024989,Cep55
ENSG00000147889,CDKN2A,ENSMUSG00000044303,Cdkn2a
ENSG00000171320,ESCO2,ENSMUSG00000022034,Esco2
ENSG00000178999,AURKB,ENSMUSG00000020897,Aurkb
ENSG00000181449,SOX2,ENSMUSG00000074637,Sox2
ENSG00000172201,ID4,ENSMUSG00000021379,Id4
ENSG00000166451,CENPN,ENSMUSG00000031756,Cenpn
ENSG00000112312,GMNN,ENSMUSG00000006715,Gmnn
ENSG00000112029,FBXO5,ENSMUSG00000019773,Fbxo5
ENSG00000137807,KIF23,ENSMUSG00000032254,Kif23
ENSG00000204899,MZT1,ENSMUSG00000033186,Mzt1
ENSG00000171223,JUNB,ENSMUSG00000052837,Junb
ENSG00000117650,NEK2,ENSMUSG00000026622,Nek2
ENSG00000080986,NDC80,ENSMUSG00000024056,Ndc80
