,human_ensembl,human_symbol,mouse_ensembl,mouse_symbol
78,ENSG00000133872,SARAF,ENSMUSG00000031532,Saraf
79,ENSG00000072571,HMMR,ENSMUSG00000020330,Hmmr
80,ENSG00000165948,IFI27L1,missing6,missing6
81,ENSG00000196531,NACA,ENSMUSG00000061315,Naca
82,ENSG00000204392,LSM2,ENSMUSG00000007050,Lsm2
83,ENSG00000143545,RAB13,ENSMUSG00000027935,Rab13
84,ENSG00000048649,RSF1,ENSMUSG00000035623,Rsf1
85,ENSG00000138801,PAPSS1,ENSMUSG00000028032,Papss1
86,ENSG00000117399,CDC20,ENSMUSG00000006398,Cdc20
87,ENSG00000123219,CENPK,ENSMUSG00000021714,Cenpk
88,ENSG00000104408,EIF3E,ENSMUSG00000022336,Eif3e
89,ENSG00000132661,NXT1,ENSMUSG00000036992,Nxt1
90,ENSG00000114405,C3orf14,ENSMUSG00000033111,3830406C13Rik
91,ENSG00000120053,GOT1,ENSMUSG00000025190,Got1
92,ENSG00000089280,FUS,ENSMUSG00000030795,Fus
93,ENSG00000115758,ODC1,ENSMUSG00000011179,Odc1
94,ENSG00000121621,KIF18A,ENSMUSG00000027115,Kif18a
95,ENSG00000052802,MSMO1,ENSMUSG00000031604,Msmo1
96,ENSG00000123080,CDKN2C,ENSMUSG00000028551,Cdkn2c
97,ENSG00000091436,MAP3K20,ENSMUSG00000004085,Map3k20
98,ENSG00000177311,ZBTB38,ENSMUSG00000040433,Zbtb38
99,ENSG00000130520,LSM4,ENSMUSG00000031848,Lsm4
100,ENSG00000172301,COPRS,ENSMUSG00000031458,Coprs
101,ENSG00000117318,ID3,ENSMUSG00000007872,Id3
102,ENSG00000167543,TP53I13,ENSMUSG00000044328,Trp53i13
103,ENSG00000163069,SGCB,ENSMUSG00000029156,Sgcb
104,ENSG00000197771,MCMBP,ENSMUSG00000048170,Mcmbp
105,ENSG00000151466,SCLT1,ENSMUSG00000059834,Sclt1
106,ENSG00000169756,LIMS1,missing7,missing7
107,ENSG00000131462,TUBG1,ENSMUSG00000035198,Tubg1
108,ENSG00000167614,TTYH1,ENSMUSG00000030428,Ttyh1
109,ENSG00000123560,PLP1,ENSMUSG00000031425,Plp1
110,ENSG00000176894,PXMP2,ENSMUSG00000029499,Pxmp2
111,ENSG00000185567,AHNAK2,ENSMUSG00000118667,Ahnak2
112,ENSG00000106366,SERPINE1,ENSMUSG00000037411,Serpine1
113,ENSG00000124766,SOX4,ENSMUSG00000076431,Sox4
114,ENSG00000145386,CCNA2,ENSMUSG00000027715,Ccna2
115,ENSG00000095380,NANS,ENSMUSG00000028334,Nans
116,ENSG00000175334,BANF1,ENSMUSG00000024844,Banf1
117,ENSG00000225783,MIAT,missing8,missing8
118,ENSG00000110841,PPFIBP1,ENSMUSG00000016487,Ppfibp1
119,ENSG00000137880,GCHFR,ENSMUSG00000046814,Gchfr
120,ENSG00000100401,RANGAP1,ENSMUSG00000022391,Rangap1
121,ENSG00000057019,DCBLD2,ENSMUSG00000035107,Dcbld2
122,ENSG00000106617,PRKAG2,ENSMUSG00000028944,Prkag2
123,ENSG00000137309,HMGA1,ENSMUSG00000046711,Hmga1
124,ENSG00000116667,C1orf21,ENSMUSG00000032666,1700025G04Rik
125,ENSG00000167775,CD320,ENSMUSG00000002308,Cd320
126,ENSG00000123485,HJURP,ENSMUSG00000044783,Hjurp
127,ENSG00000141682,PMAIP1,ENSMUSG00000024521,Pmaip1
128,ENSG00000160307,S100B,ENSMUSG00000033208,S100b
129,ENSG00000105323,HNRNPUL1,ENSMUSG00000040725,Hnrnpul1
130,ENSG00000133639,BTG1,ENSMUSG00000036478,Btg1
131,ENSG00000151725,CENPU,ENSMUSG00000031629,Cenpu
132,ENSG00000204356,NELFE,ENSMUSG00000024369,Nelfe
133,ENSG00000122566,HNRNPA2B1,ENSMUSG00000004980,Hnrnpa2b1
134,ENSG00000148677,ANKRD1,ENSMUSG00000024803,Ankrd1
135,ENSG00000079462,PAFAH1B3,ENSMUSG00000005447,Pafah1b3
136,ENSG00000143933,CALM2,ENSMUSG00000036438,Calm2
137,ENSG00000105173,CCNE1,ENSMUSG00000002068,Ccne1
138,ENSG00000185950,IRS2,ENSMUSG00000038894,Irs2
139,ENSG00000163923,RPL39L,missing9,missing9
140,ENSG00000128050,PAICS,ENSMUSG00000029247,Paics
141,ENSG00000069275,NUCKS1,ENSMUSG00000026434,Nucks1
142,ENSG00000123737,EXOSC9,ENSMUSG00000027714,Exosc9
143,ENSG00000035499,DEPDC1B,ENSMUSG00000021697,Depdc1b
144,ENSG00000102760,RGCC,ENSMUSG00000022018,Rgcc
145,ENSG00000139734,DIAPH3,ENSMUSG00000022021,Diaph3
146,ENSG00000103275,UBE2I,ENSMUSG00000015120,Ube2i
147,ENSG00000115392,FANCL,ENSMUSG00000004018,Fancl
148,ENSG00000054148,PHPT1,ENSMUSG00000036504,Phpt1
149,ENSG00000118523,CCN2,ENSMUSG00000019997,Ccn2
150,ENSG00000188643,S100A16,ENSMUSG00000074457,S100a16
151,ENSG00000115363,EVA1A,ENSMUSG00000035104,Eva1a
152,ENSG00000187840,EIF4EBP1,ENSMUSG00000031490,Eif4ebp1
153,ENSG00000253729,PRKDC,ENSMUSG00000022672,Prkdc
154,ENSG00000131507,NDFIP1,ENSMUSG00000024425,Ndfip1
155,ENSG00000249992,TMEM158,ENSMUSG00000054871,Tmem158
156,ENSG00000127445,PIN1,ENSMUSG00000074997,Pin1rt1
157,ENSG00000167508,MVD,ENSMUSG00000006517,Mvd
158,ENSG00000070081,NUCB2,ENSMUSG00000030659,Nucb2
159,ENSG00000080986,NDC80,ENSMUSG00000024056,Ndc80
160,ENSG00000183722,LHFPL6,ENSMUSG00000048332,Lhfp
161,ENSG00000177606,JUN,ENSMUSG00000052684,Jun
162,ENSG00000064961,HMG20B,ENSMUSG00000020232,Hmg20b
163,ENSG00000112972,HMGCS1,ENSMUSG00000093930,Hmgcs1
164,ENSG00000136108,CKAP2,ENSMUSG00000037725,Ckap2
165,ENSG00000156802,ATAD2,missing10,missing10
166,ENSG00000152952,PLOD2,ENSMUSG00000032374,Plod2
167,ENSG00000196754,S100A2,ENSMUSG00000094018,S100a2
168,ENSG00000163002,NUP35,ENSMUSG00000026999,Nup35
169,ENSG00000011426,ANLN,ENSMUSG00000036777,Anln
170,ENSG00000128944,KNSTRN,ENSMUSG00000027331,Knstrn
171,ENSG00000143228,NUF2,ENSMUSG00000026683,Nuf2
172,ENSG00000189159,JPT1,ENSMUSG00000020737,Jpt1
173,ENSG00000128294,TPST2,ENSMUSG00000029344,Tpst2
174,ENSG00000112081,SRSF3,ENSMUSG00000071172,Srsf3
175,ENSG00000204542,C6orf15,ENSMUSG00000039269,2300002M23Rik
176,ENSG00000110492,MDK,ENSMUSG00000027239,Mdk
177,ENSG00000134809,TIMM10,ENSMUSG00000027076,Timm10
178,ENSG00000108830,RND2,ENSMUSG00000001313,Rnd2
179,ENSG00000099860,GADD45B,ENSMUSG00000015312,Gadd45b
180,ENSG00000156265,MAP3K7CL,missing11,missing11
181,ENSG00000111665,CDCA3,ENSMUSG00000023505,Cdca3
182,ENSG00000101335,MYL9,ENSMUSG00000067818,Myl9
183,ENSG00000117450,PRDX1,ENSMUSG00000028691,Prdx1
184,ENSG00000142864,SERBP1,ENSMUSG00000036371,Serbp1
185,ENSG00000147874,HAUS6,ENSMUSG00000038047,Haus6
186,ENSG00000111206,FOXM1,ENSMUSG00000001517,Foxm1
187,ENSG00000124762,CDKN1A,ENSMUSG00000023067,Cdkn1a
188,ENSG00000152082,MZT2B,ENSMUSG00000022671,Mzt2
189,ENSG00000156136,DCK,ENSMUSG00000029366,Dck
190,ENSG00000138778,CENPE,ENSMUSG00000045328,Cenpe
191,ENSG00000196923,PDLIM7,ENSMUSG00000021493,Pdlim7
192,ENSG00000140416,TPM1,ENSMUSG00000032366,Tpm1
193,ENSG00000144746,ARL6IP5,ENSMUSG00000035199,Arl6ip5
194,ENSG00000213853,EMP2,ENSMUSG00000022505,Emp2
195,ENSG00000137331,IER3,ENSMUSG00000003541,Ier3
196,ENSG00000183011,NAA38,ENSMUSG00000059278,Naa38
197,ENSG00000149636,DSN1,ENSMUSG00000027635,Dsn1
198,ENSG00000183207,RUVBL2,ENSMUSG00000003868,Ruvbl2
199,ENSG00000160298,C21orf58,ENSMUSG00000009114,2610028H24Rik
200,ENSG00000178035,IMPDH2,ENSMUSG00000062867,Impdh2
201,ENSG00000158402,CDC25C,ENSMUSG00000044201,Cdc25c
202,ENSG00000167978,SRRM2,ENSMUSG00000039218,Srrm2
203,ENSG00000159147,DONSON,ENSMUSG00000022960,Donson
204,ENSG00000162385,MAGOH,ENSMUSG00000028609,Magoh
205,ENSG00000183955,KMT5A,ENSMUSG00000049327,Kmt5a
206,ENSG00000136104,RNASEH2B,ENSMUSG00000021932,Rnaseh2b
207,ENSG00000089685,BIRC5,ENSMUSG00000017716,Birc5
208,ENSG00000101439,CST3,ENSMUSG00000033156,Cst10
209,ENSG00000138182,KIF20B,ENSMUSG00000024795,Kif20b
210,ENSG00000148335,NTMT1,ENSMUSG00000026857,Ntmt1
211,ENSG00000120802,TMPO,missing12,missing12
212,ENSG00000163584,RPL22L1,ENSMUSG00000039221,Rpl22l1
213,ENSG00000131747,TOP2A,ENSMUSG00000020914,Top2a
214,ENSG00000136950,ARPC5L,ENSMUSG00000026755,Arpc5l
215,ENSG00000115163,CENPA,ENSMUSG00000029177,Cenpa
216,ENSG00000120699,EXOSC8,ENSMUSG00000027752,Exosc8
217,ENSG00000093009,CDC45,ENSMUSG00000000028,Cdc45
218,ENSG00000104763,ASAH1,ENSMUSG00000031591,Asah1
219,ENSG00000113368,LMNB1,ENSMUSG00000024590,Lmnb1
220,ENSG00000149948,HMGA2,ENSMUSG00000056758,Hmga2
221,ENSG00000154640,BTG3,ENSMUSG00000022863,Btg3
222,ENSG00000185088,RPS27L,ENSMUSG00000036781,Rps27l
223,ENSG00000129810,SGO1,ENSMUSG00000023940,Sgo1
224,ENSG00000196290,NIF3L1,ENSMUSG00000026036,Nif3l1
225,ENSG00000082996,RNF13,ENSMUSG00000036503,Rnf13
226,ENSG00000152944,MED21,ENSMUSG00000030291,Med21
227,ENSG00000011422,PLAUR,ENSMUSG00000046223,Plaur
228,ENSG00000112110,MRPL18,ENSMUSG00000057388,Mrpl18
229,ENSG00000145632,PLK2,ENSMUSG00000021701,Plk2
230,ENSG00000206503,HLA-A,missing13,missing13
231,ENSG00000118939,UCHL3,ENSMUSG00000035337,Uchl4
232,ENSG00000067064,IDI1,ENSMUSG00000058258,Idi1
233,ENSG00000149483,TMEM138,ENSMUSG00000024666,Tmem138
234,ENSG00000106236,NPTX2,ENSMUSG00000059991,Nptx2
235,ENSG00000257727,CNPY2,ENSMUSG00000025381,Cnpy2
236,ENSG00000132475,H3-3B,missing14,missing14
237,ENSG00000174442,ZWILCH,ENSMUSG00000032400,Zwilch
238,ENSG00000012048,BRCA1,ENSMUSG00000017146,Brca1
239,ENSG00000176208,ATAD5,ENSMUSG00000017550,Atad5
240,ENSG00000130816,DNMT1,ENSMUSG00000004099,Dnmt1
241,ENSG00000135486,HNRNPA1,ENSMUSG00000046434,Hnrnpa1
242,ENSG00000166598,HSP90B1,ENSMUSG00000020048,Hsp90b1
243,ENSG00000161800,RACGAP1,ENSMUSG00000023015,Racgap1
244,ENSG00000142089,IFITM3,ENSMUSG00000025491,Ifitm1
245,ENSG00000147509,RGS20,ENSMUSG00000002459,Rgs20
246,ENSG00000006634,DBF4,ENSMUSG00000002297,Dbf4
247,ENSG00000115461,IGFBP5,ENSMUSG00000026185,Igfbp5
248,ENSG00000164056,SPRY1,ENSMUSG00000037211,Spry1
249,ENSG00000145284,SCD5,missing15,missing15
250,ENSG00000088325,TPX2,ENSMUSG00000027469,Tpx2
251,ENSG00000111231,GPN3,ENSMUSG00000029464,Gpn3
252,ENSG00000165704,HPRT1,ENSMUSG00000025630,Hprt
253,ENSG00000113580,NR3C1,ENSMUSG00000024431,Nr3c1
254,ENSG00000102409,BEX4,ENSMUSG00000047844,Bex4
255,ENSG00000006327,TNFRSF12A,missing16,missing16
256,ENSG00000153551,CMTM7,ENSMUSG00000032436,Cmtm7
257,ENSG00000124795,DEK,ENSMUSG00000021377,Dek
258,ENSG00000182054,IDH2,ENSMUSG00000030541,Idh2
259,ENSG00000125148,MT2A,missing17,missing17
260,ENSG00000106603,COA1,missing18,missing18
261,ENSG00000000003,TSPAN6,ENSMUSG00000067377,Tspan6
262,ENSG00000158417,EIF5B,ENSMUSG00000026083,Eif5b
263,ENSG00000101057,MYBL2,ENSMUSG00000017861,Mybl2
264,ENSG00000101596,SMCHD1,ENSMUSG00000024054,Smchd1
265,ENSG00000114784,EIF1B,ENSMUSG00000006941,Eif1b
266,ENSG00000126787,DLGAP5,ENSMUSG00000037544,Dlgap5
267,ENSG00000140365,COMMD4,ENSMUSG00000032299,Commd4
268,ENSG00000160201,U2AF1,ENSMUSG00000061613,U2af1
269,ENSG00000143815,LBR,ENSMUSG00000004880,Lbr
270,ENSG00000143771,CNIH4,ENSMUSG00000062169,Cnih4
271,ENSG00000149591,TAGLN,ENSMUSG00000032085,Tagln
272,ENSG00000102172,SMS,ENSMUSG00000071708,Sms
273,ENSG00000084463,WBP11,missing19,missing19
274,ENSG00000092820,EZR,ENSMUSG00000052397,Ezr
275,ENSG00000105185,PDCD5,ENSMUSG00000030417,Pdcd5
276,ENSG00000138180,CEP55,ENSMUSG00000024989,Cep55
277,ENSG00000095739,BAMBI,ENSMUSG00000024232,Bambi
278,ENSG00000102007,PLP2,ENSMUSG00000057762,Gm6169
279,ENSG00000166681,BEX3,ENSMUSG00000046432,Bex3
280,ENSG00000198176,TFDP1,ENSMUSG00000038482,Tfdp1
281,ENSG00000140157,NIPA2,ENSMUSG00000030452,Nipa2
282,ENSG00000162607,USP1,ENSMUSG00000028560,Usp1
283,ENSG00000136938,ANP32B,ENSMUSG00000028333,Anp32b
284,ENSG00000134291,TMEM106C,ENSMUSG00000052369,Tmem106c
285,ENSG00000103540,CCP110,ENSMUSG00000033904,Ccp110
286,ENSG00000143549,TPM3,ENSMUSG00000058126,Tpm3-rs7
287,ENSG00000116120,FARSB,ENSMUSG00000026245,Farsb
288,ENSG00000135441,BLOC1S1,ENSMUSG00000090247,Bloc1s1
289,ENSG00000019582,CD74,ENSMUSG00000024610,Cd74
290,ENSG00000078401,EDN1,ENSMUSG00000021367,Edn1
291,ENSG00000112742,TTK,ENSMUSG00000038379,Ttk
292,ENSG00000240065,PSMB9,ENSMUSG00000096727,Psmb9
293,ENSG00000114115,RBP1,ENSMUSG00000046402,Rbp1
294,ENSG00000251562,MALAT1,missing20,missing20
295,ENSG00000173674,EIF1AX,ENSMUSG00000095717,Eif1ad11
296,ENSG00000137210,TMEM14B,missing21,missing21
297,ENSG00000078668,VDAC3,ENSMUSG00000008892,Vdac3
298,ENSG00000168298,H1-4,ENSMUSG00000051627,H1f4
299,ENSG00000112983,BRD8,ENSMUSG00000003778,Brd8
300,ENSG00000075188,NUP37,ENSMUSG00000035351,Nup37
301,ENSG00000113810,SMC4,ENSMUSG00000034349,Smc4
302,ENSG00000087086,FTL,ENSMUSG00000062382,Ftl1-ps1
303,ENSG00000168476,REEP4,ENSMUSG00000033589,Reep4
304,ENSG00000106278,PTPRZ1,ENSMUSG00000068748,Ptprz1
305,ENSG00000113456,RAD1,ENSMUSG00000022248,Rad1
306,ENSG00000100297,MCM5,ENSMUSG00000005410,Mcm5
307,ENSG00000162614,NEXN,ENSMUSG00000039103,Nexn
308,ENSG00000131016,AKAP12,ENSMUSG00000038587,Akap12
309,ENSG00000075131,TIPIN,ENSMUSG00000032397,Tipin
310,ENSG00000101361,NOP56,ENSMUSG00000027405,Nop56
311,ENSG00000078674,PCM1,ENSMUSG00000031592,Pcm1
312,ENSG00000150991,UBC,ENSMUSG00000008348,Ubc
313,ENSG00000134001,EIF2S1,ENSMUSG00000021116,Eif2s1
314,ENSG00000111445,RFC5,ENSMUSG00000029363,Rfc5
315,ENSG00000115306,SPTBN1,ENSMUSG00000020315,Sptbn1
316,ENSG00000136997,MYC,ENSMUSG00000022346,Myc
317,ENSG00000122861,PLAU,ENSMUSG00000021822,Plau
318,ENSG00000185480,PARPBP,ENSMUSG00000035365,Parpbp
319,ENSG00000169607,CKAP2L,ENSMUSG00000048327,Ckap2l
320,ENSG00000163507,CIP2A,ENSMUSG00000033031,Cip2a
321,ENSG00000150625,GPM6A,ENSMUSG00000031517,Gpm6a
322,ENSG00000051596,THOC3,ENSMUSG00000025872,Thoc3
323,ENSG00000148484,RSU1,ENSMUSG00000026727,Rsu1
324,ENSG00000108528,SLC25A11,ENSMUSG00000014606,Slc25a11
325,ENSG00000076248,UNG,ENSMUSG00000029591,Ung
326,ENSG00000139921,TMX1,ENSMUSG00000021072,Tmx1
327,ENSG00000092199,HNRNPC,ENSMUSG00000060373,Hnrnpc
328,ENSG00000131470,PSMC3IP,ENSMUSG00000019303,Psmc3ip
329,ENSG00000118257,NRP2,ENSMUSG00000025969,Nrp2
330,ENSG00000114942,EEF1B2,ENSMUSG00000025967,Eef1b2
331,ENSG00000175130,MARCKSL1,ENSMUSG00000047945,Marcksl1
332,ENSG00000075790,BCAP29,ENSMUSG00000020650,Bcap29
333,ENSG00000162910,MRPL55,ENSMUSG00000036860,Mrpl55
334,ENSG00000095752,IL11,ENSMUSG00000004371,Il11
335,ENSG00000122786,CALD1,ENSMUSG00000029761,Cald1
336,ENSG00000092531,SNAP23,ENSMUSG00000027287,Snap23
337,ENSG00000162063,CCNF,ENSMUSG00000072082,Ccnf
338,ENSG00000057757,PITHD1,ENSMUSG00000028669,Pithd1
339,ENSG00000132646,PCNA,ENSMUSG00000027342,Pcna
340,ENSG00000100097,LGALS1,ENSMUSG00000068220,Lgals1
341,ENSG00000122483,CCDC18,ENSMUSG00000056531,Ccdc18
342,ENSG00000135318,NT5E,ENSMUSG00000032420,Nt5e
343,ENSG00000167325,RRM1,ENSMUSG00000030978,Rrm1
344,ENSG00000124588,NQO2,ENSMUSG00000046949,Nqo2
345,ENSG00000167005,NUDT21,ENSMUSG00000031754,Nudt21
346,ENSG00000131153,GINS2,ENSMUSG00000031821,Gins2
347,ENSG00000113070,HBEGF,ENSMUSG00000024486,Hbegf
348,ENSG00000186577,SMIM29,ENSMUSG00000062753,Smim29
349,ENSG00000119333,DYNC2I2,ENSMUSG00000039715,Dync2i2
350,ENSG00000198168,SVIP,ENSMUSG00000074093,Svip
351,ENSG00000179262,RAD23A,ENSMUSG00000003813,Rad23a
352,ENSG00000051825,MPHOSPH9,ENSMUSG00000038126,Mphosph9
353,ENSG00000112029,FBXO5,ENSMUSG00000019773,Fbxo5
354,ENSG00000065328,MCM10,ENSMUSG00000026669,Mcm10
355,ENSG00000170312,CDK1,ENSMUSG00000019942,Cdk1
356,ENSG00000168061,SAC3D1,ENSMUSG00000024790,Sac3d1
357,ENSG00000164985,PSIP1,ENSMUSG00000028484,Psip1
358,ENSG00000143631,FLG,ENSMUSG00000102439,Flg
359,ENSG00000235162,C12orf75,ENSMUSG00000087651,1500009L16Rik
360,ENSG00000184357,H1-5,ENSMUSG00000058773,H1f5
361,ENSG00000006042,TMEM98,ENSMUSG00000035413,Tmem98
362,ENSG00000154473,BUB3,ENSMUSG00000066979,Bub3
363,ENSG00000105011,ASF1B,ENSMUSG00000005470,Asf1b
364,ENSG00000228716,DHFR,ENSMUSG00000021707,Dhfr
365,ENSG00000120437,ACAT2,ENSMUSG00000023832,Acat2
366,ENSG00000164543,STK17A,missing22,missing22
367,ENSG00000172115,CYCS,ENSMUSG00000058927,Gm10053
368,ENSG00000015475,BID,ENSMUSG00000004446,Bid
369,ENSG00000023572,GLRX2,missing23,missing23
370,ENSG00000013810,TACC3,ENSMUSG00000037313,Tacc3
371,ENSG00000182512,GLRX5,ENSMUSG00000021102,Glrx5
372,ENSG00000128789,PSMG2,ENSMUSG00000024537,Psmg2
373,ENSG00000107438,PDLIM1,ENSMUSG00000055044,Pdlim1
374,ENSG00000136518,ACTL6A,ENSMUSG00000027671,Actl6a
375,ENSG00000175592,FOSL1,ENSMUSG00000024912,Fosl1
376,ENSG00000100578,KIAA0586,ENSMUSG00000034601,2700049A03Rik
377,ENSG00000126261,UBA2,ENSMUSG00000052997,Uba2
378,ENSG00000182732,RGS6,ENSMUSG00000021219,Rgs6
379,ENSG00000237649,KIFC1,ENSMUSG00000079553,Kifc1
380,ENSG00000137207,YIPF3,ENSMUSG00000071074,Yipf3
381,ENSG00000070761,CFAP20,ENSMUSG00000031796,Cfap20
382,ENSG00000109685,NSD2,ENSMUSG00000057406,Nsd2
383,ENSG00000108691,CCL2,ENSMUSG00000035385,Ccl2
384,ENSG00000132429,POPDC3,ENSMUSG00000019848,Popdc3
385,ENSG00000104388,RAB2A,ENSMUSG00000047187,Rab2a
386,ENSG00000068697,LAPTM4A,ENSMUSG00000020585,Laptm4a
387,ENSG00000143321,HDGF,ENSMUSG00000004897,Hdgf
388,ENSG00000109881,CCDC34,ENSMUSG00000027160,Ccdc34
389,ENSG00000055211,GINM1,ENSMUSG00000040006,Ginm1
390,ENSG00000102804,TSC22D1,ENSMUSG00000022010,Tsc22d1
391,ENSG00000137285,TUBB2B,ENSMUSG00000045136,Tubb2b
392,ENSG00000137509,PRCP,ENSMUSG00000061119,Prcp
393,ENSG00000166165,CKB,ENSMUSG00000001270,Ckb
394,ENSG00000092201,SUPT16H,ENSMUSG00000035726,Supt16
395,ENSG00000163882,POLR2H,ENSMUSG00000021018,Polr2h
396,ENSG00000115875,SRSF7,ENSMUSG00000024097,Srsf7
397,ENSG00000204287,HLA-DRA,ENSMUSG00000036322,H2-Ea
398,ENSG00000116670,MAD2L2,ENSMUSG00000029003,Mad2l2
399,ENSG00000173598,NUDT4,ENSMUSG00000020029,Nudt4
400,ENSG00000122952,ZWINT,ENSMUSG00000019923,Zwint
401,ENSG00000157150,TIMP4,ENSMUSG00000030317,Timp4
402,ENSG00000124575,H1-3,ENSMUSG00000052565,H1f3
403,ENSG00000176340,COX8A,ENSMUSG00000035885,Cox8a
404,ENSG00000129195,PIMREG,ENSMUSG00000020808,Pimreg
405,ENSG00000123144,TRIR,ENSMUSG00000041203,Trir
406,ENSG00000111639,MRPL51,ENSMUSG00000030335,Mrpl51
